,Country,Region,City,Longitude,Latitude,attacktype,nkill,nwound,Date,ntotal
341,Iraq,Middle East & North Africa,Suwayrah,44.770956,32.925266,Bombing/Explosion,59.0,44.0,5-6-2005,103.0
342,Myanmar,Southeast Asia,Yangon,96.15090699999999,16.799582,Bombing/Explosion,6.33,54.0,5-7-2005,60.33
343,Myanmar,Southeast Asia,Yangon,96.15090699999999,16.799582,Bombing/Explosion,6.33,54.0,5-7-2005,60.33
344,Myanmar,Southeast Asia,Yangon,96.15090699999999,16.799582,Bombing/Explosion,6.34,54.0,5-7-2005,60.34
345,Iraq,Middle East & North Africa,Baghdad,44.408454,33.327797,Bombing/Explosion,22.0,35.0,5-7-2005,57.0
346,Iraq,Middle East & North Africa,Hadithah,42.383225,34.133066,Bombing/Explosion,4.0,99.0,5-7-2005,103.0
347,Iraq,Middle East & North Africa,Tikrit,43.685789,34.604447,Bombing/Explosion,28.0,60.0,5-11-2005,88.0
348,Iraq,Middle East & North Africa,Hawijah,43.766813,35.324816999999996,Bombing/Explosion,31.0,35.0,5-11-2005,66.0
349,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,4.0,99.0,5-11-2005,103.0
350,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,3.0,99.0,5-11-2005,102.0
351,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Assassination,1.0,99.0,5-12-2005,100.0
352,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Assassination,1.0,99.0,5-12-2005,100.0
353,Afghanistan,South Asia,Zarghon Shaher,69.139167,34.120278000000006,Facility/Infrastructure Attack,0.0,99.0,5-12-2005,99.0
354,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,17.0,81.0,5-12-2005,98.0
355,Iraq,Middle East & North Africa,Baghdad,44.460652,33.389934000000004,Bombing/Explosion,8.0,110.0,5-23-2005,118.0
356,Pakistan,South Asia,Islamabad,73.053857,33.708988,Bombing/Explosion,20.0,100.0,5-27-2005,120.0
357,Iraq,Middle East & North Africa,Hillah,44.433333000000005,32.483333,Bombing/Explosion,34.0,108.0,5-30-2005,142.0
358,Iraq,Middle East & North Africa,Hillah,44.433269,32.483494,Bombing/Explosion,27.0,128.0,5-30-2005,155.0
359,Afghanistan,South Asia,Kandahar,65.675942,31.617666999999997,Bombing/Explosion,21.0,52.0,6-1-2005,73.0
360,Iraq,Middle East & North Africa,Kirkuk,44.39098,35.46883,Bombing/Explosion,20.0,65.0,6-14-2005,85.0
361,Iraq,Middle East & North Africa,Arbil,44.009167,36.191111,Bombing/Explosion,14.0,130.0,6-20-2005,144.0
362,Iraq,Middle East & North Africa,Baghdad,44.422857,33.298668,Bombing/Explosion,20.0,50.0,6-23-2005,70.0
363,Great Britain,Western Europe,London,-0.126236,51.500152,Bombing/Explosion,8.0,171.0,7-7-2005,179.0
364,Great Britain,Western Europe,London,-0.126236,51.500152,Bombing/Explosion,27.0,340.0,7-7-2005,367.0
365,Great Britain,Western Europe,London,-0.126236,51.500152,Bombing/Explosion,7.0,163.0,7-7-2005,170.0
366,Great Britain,Western Europe,London,-0.126236,51.500152,Bombing/Explosion,14.0,110.0,7-7-2005,124.0
367,Iraq,Middle East & North Africa,Mosul,43.13,36.34,Bombing/Explosion,3.0,64.0,7-7-2005,67.0
368,Iraq,Middle East & North Africa,Baghdad,44.319487,33.287345,Bombing/Explosion,25.0,47.0,7-10-2005,72.0
369,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,29.0,70.0,7-13-2005,99.0
