,month,killed,wounded
258,1997-02-01 00:00:00,465,734
346,1997-03-01 00:00:00,547,845
399,1997-04-01 00:00:00,449,554
111,1997-05-01 00:00:00,392,543
146,1997-06-01 00:00:00,550,715
372,1997-07-01 00:00:00,1079,1009
127,1997-08-01 00:00:00,1568,828
42,1997-09-01 00:00:00,936,888
53,1997-10-01 00:00:00,854,944
88,1997-11-01 00:00:00,1083,551
50,1997-12-01 00:00:00,1850,783
326,1998-01-01 00:00:00,327,184
259,1998-02-01 00:00:00,211,590
354,1998-03-01 00:00:00,206,644
396,1998-04-01 00:00:00,102,190
118,1998-05-01 00:00:00,124,360
141,1998-06-01 00:00:00,131,168
345,1998-07-01 00:00:00,129,191
119,1998-08-01 00:00:00,585,4626
169,1998-09-01 00:00:00,103,291
59,1998-10-01 00:00:00,343,374
91,1998-11-01 00:00:00,295,357
39,1998-12-01 00:00:00,100,168
368,1999-01-01 00:00:00,109,226
260,1999-02-01 00:00:00,88,291
353,1999-03-01 00:00:00,295,623
397,1999-04-01 00:00:00,145,401
117,1999-05-01 00:00:00,113,181
142,1999-06-01 00:00:00,423,799
378,1999-07-01 00:00:00,319,405
120,1999-08-01 00:00:00,189,351
168,1999-09-01 00:00:00,256,672
60,1999-10-01 00:00:00,154,264
130,1999-11-01 00:00:00,260,605
40,1999-12-01 00:00:00,181,427
211,2000-01-01 00:00:00,197,473
471,2000-02-01 00:00:00,211,290
12,2000-03-01 00:00:00,427,293
515,2000-04-01 00:00:00,85,191
319,2000-05-01 00:00:00,197,679
183,2000-06-01 00:00:00,188,202
294,2000-07-01 00:00:00,373,467
200,2000-08-01 00:00:00,193,570
65,2000-09-01 00:00:00,438,555
451,2000-10-01 00:00:00,272,635
290,2000-11-01 00:00:00,325,470
104,2000-12-01 00:00:00,400,659
212,2001-01-01 00:00:00,319,318
470,2001-02-01 00:00:00,218,301
13,2001-03-01 00:00:00,351,479
486,2001-04-01 00:00:00,225,752
320,2001-05-01 00:00:00,253,480
68,2001-06-01 00:00:00,206,565
283,2001-07-01 00:00:00,205,235
189,2001-08-01 00:00:00,902,1230
66,2001-09-01 00:00:00,616,681
450,2001-10-01 00:00:00,207,337
291,2001-11-01 00:00:00,353,457
103,2001-12-01 00:00:00,216,526
209,2002-01-01 00:00:00,227,371
469,2002-02-01 00:00:00,173,195
121,2002-03-01 00:00:00,241,856
489,2002-04-01 00:00:00,352,687
317,2002-05-01 00:00:00,450,774
174,2002-06-01 00:00:00,274,513
296,2002-07-01 00:00:00,198,464
279,2002-08-01 00:00:00,269,735
63,2002-09-01 00:00:00,169,487
453,2002-10-01 00:00:00,376,739
288,2002-11-01 00:00:00,220,453
102,2002-12-01 00:00:00,185,789
210,2003-01-01 00:00:00,314,401
468,2003-02-01 00:00:00,206,380
234,2003-03-01 00:00:00,239,642
488,2003-04-01 00:00:00,173,261
318,2003-05-01 00:00:00,363,831
61,2003-06-01 00:00:00,154,306
297,2003-07-01 00:00:00,252,494
115,2003-08-01 00:00:00,303,898
64,2003-09-01 00:00:00,166,515
452,2003-10-01 00:00:00,136,530
289,2003-11-01 00:00:00,237,1276
101,2003-12-01 00:00:00,115,467
341,2004-01-01 00:00:00,280,687
467,2004-02-01 00:00:00,356,960
8,2004-03-01 00:00:00,1109,2837
491,2004-04-01 00:00:00,252,715
315,2004-05-01 00:00:00,243,797
187,2004-06-01 00:00:00,405,965
